Total Time(s),Time_o1(s),Time_o2(s),var1,var2,o1,o2
8.263999938964844,8.139999866485596,0.008999824523925781,2.0,7.0,-0.01874721357135787,3854.119862574006
0.41100001335144043,0.41100001335144043,0.0,6.0,8.0,-0.019083111798404283,5894.645128172135
0.6469998359680176,0.6469998359680176,0.0,3.0,15.0,-0.01974926796433815,7403.008010263303
0.5069999694824219,0.5069999694824219,0.0,6.0,14.0,-0.019701309078820187,12591.52006668722
0.45599985122680664,0.45599985122680664,0.0,4.0,20.0,-0.019861609224867557,13346.769249272797
0.4660000801086426,0.4660000801086426,0.0,2.0,4.0,-0.016752238346872516,2167.9424226978804
0.372999906539917,0.372999906539917,0.0,3.0,3.0,-0.015510069870605001,1184.4812816421295
0.44300007820129395,0.44300007820129395,0.0,2.0,19.0,-0.019825500935464653,15416.479450296025
0.5450000762939453,0.5450000762939453,0.0,4.0,1.0,-0.007612393587736802,768.773908758113
0.500999927520752,0.500999927520752,0.0,2.0,9.0,-0.019225061574400647,5245.885368503497
0.3899998664855957,0.3899998664855957,0.0,5.0,11.0,-0.019536128760590864,12755.952263838317
0.4179999828338623,0.4179999828338623,0.0,6.0,2.0,-0.01255268015237121,1709.0982916002085
0.34999990463256836,0.34999990463256836,0.0,1.0,13.0,-0.01959778078131903,4243.631976344787
0.3919999599456787,0.3919999599456787,0.0,5.0,6.0,-0.018512651006796815,6029.180562204798
0.45399999618530273,0.45399999618530273,0.0,5.0,1.0,-0.00751217919038258,1793.8057871022634
0.4089999198913574,0.4089999198913574,0.0,2.0,12.0,-0.019563977271165676,7735.0044464158245
0.8240001201629639,0.8240001201629639,0.0,3.0,15.0,-0.01974926796433815,7403.008010263303
0.44099998474121094,0.440000057220459,0.0,3.0,6.0,-0.0184825834169445,2239.409923104639
0.4419999122619629,0.4419999122619629,0.0,1.0,17.0,-0.019763889158384486,6339.252705403902
0.48200011253356934,0.48200011253356934,0.0,4.0,16.0,-0.019786393881479958,9417.48038228686
0.5049998760223389,0.5049998760223389,0.0,4.0,18.0,-0.019829979056543975,11296.705492584466
0.42999982833862305,0.42999982833862305,0.0,5.0,11.0,-0.019536128760590864,12755.952263838317
0.6180000305175781,0.6180000305175781,0.0,1.0,10.0,-0.019317727145368953,2946.966650239465
0.4140000343322754,0.4140000343322754,0.0,4.0,5.0,-0.017976604212022237,2135.483079883645
0.44700002670288086,0.44700002670288086,0.0,3.0,1.0,-0.0072747407298381864,666.2707209236978
0.36700010299682617,0.36700010299682617,0.0,1.0,3.0,-0.014731372296220131,838.2482916236609
0.4240000247955322,0.4240000247955322,0.0,3.0,4.0,-0.017022153503597686,1499.1091220783214
0.4089999198913574,0.4089999198913574,0.0,3.0,9.0,-0.01929297725214292,3627.473925029014
0.4930000305175781,0.4930000305175781,0.0,2.0,7.0,-0.01874721357135787,3854.119862574006
