Total Time(s),Time_o1(s),Time_o2(s),var1,var2,o1,o2
8.83899998664856,8.70900011062622,0.009000062942504883,2.0,7.0,-0.01874721357135787,3854.119862574006
0.4049999713897705,0.4049999713897705,0.0,6.0,8.0,-0.019083111798404283,5894.645128172135
0.437999963760376,0.437999963760376,0.0,3.0,15.0,-0.01974926796433815,7403.008010263303
0.40600013732910156,0.40600013732910156,0.0,6.0,14.0,-0.019701309078820187,12591.52006668722
0.4219999313354492,0.4219999313354492,0.0,4.0,20.0,-0.019861609224867557,13346.769249272797
0.45599985122680664,0.45599985122680664,0.0,2.0,4.0,-0.016752238346872516,2167.9424226978804
0.4809999465942383,0.4809999465942383,0.0,3.0,3.0,-0.015510069870605001,1184.4812816421295
0.4630000591278076,0.4630000591278076,0.0,2.0,19.0,-0.019825500935464653,15416.479450296025
0.40400004386901855,0.40400004386901855,0.0,4.0,1.0,-0.007612393587736802,768.773908758113
0.3900001049041748,0.3900001049041748,0.0,2.0,9.0,-0.019225061574400647,5245.885368503497
0.38899993896484375,0.38899993896484375,0.0,5.0,11.0,-0.019536128760590864,12755.952263838317
0.4089999198913574,0.4089999198913574,0.0,6.0,2.0,-0.01255268015237121,1709.0982916002085
0.377000093460083,0.377000093460083,0.0,1.0,13.0,-0.01959778078131903,4243.631976344787
0.3680000305175781,0.3680000305175781,0.0,5.0,6.0,-0.018512651006796815,6029.180562204798
0.6630001068115234,0.6630001068115234,0.0,5.0,1.0,-0.00751217919038258,1793.8057871022634
0.495999813079834,0.495999813079834,0.0,2.0,12.0,-0.019563977271165676,7735.0044464158245
0.6099998950958252,0.6099998950958252,0.0,3.0,15.0,-0.01974926796433815,7403.008010263303
0.5269999504089355,0.5269999504089355,0.0,3.0,6.0,-0.0184825834169445,2239.409923104639
0.4889998435974121,0.4889998435974121,0.0,1.0,17.0,-0.019763889158384486,6339.252705403902
0.5529999732971191,0.5529999732971191,0.0,4.0,16.0,-0.019786393881479958,9417.48038228686
0.39800000190734863,0.39800000190734863,0.0,4.0,18.0,-0.019829979056543975,11296.705492584466
0.5080001354217529,0.5080001354217529,0.0,5.0,11.0,-0.019536128760590864,12755.952263838317
0.3919999599456787,0.3919999599456787,0.0,1.0,10.0,-0.019317727145368953,2946.966650239465
0.3810000419616699,0.3810000419616699,0.0,4.0,5.0,-0.017976604212022237,2135.483079883645
0.42799997329711914,0.42799997329711914,0.0,2.0,3.0,-0.015108626432970408,1712.9421611440027
0.5039999485015869,0.5039999485015869,0.0,4.0,8.0,-0.01913647597515741,3608.9664050033475
0.47699999809265137,0.47699999809265137,0.0,3.0,4.0,-0.017022153503597686,1499.1091220783214
0.5999999046325684,0.5999999046325684,0.0,1.0,6.0,-0.018208022106598994,1584.8131763509753
0.5310001373291016,0.5310001373291016,0.0,2.0,11.0,-0.019480015789411224,6851.768644576011
0.45399999618530273,0.45399999618530273,0.0,2.0,7.0,-0.01874721357135787,3854.119862574006
0.4570000171661377,0.4570000171661377,0.0,1.0,11.0,-0.01943590992164526,3352.9931664946434
0.5289998054504395,0.5289998054504395,0.0,1.0,7.0,-0.018645149979576153,1886.058656153237
0.46700000762939453,0.46700000762939453,0.0,3.0,6.0,-0.0184825834169445,2239.409923104639
0.6080000400543213,0.6080000400543213,0.0,3.0,2.0,-0.012763452180569386,906.8684812572535
0.5,0.5,0.0,2.0,3.0,-0.015108626432970408,1712.9421611440027
0.5590000152587891,0.5590000152587891,0.0,3.0,11.0,-0.019526311326436868,4737.925126568518
0.5039999485015869,0.5039999485015869,0.0,3.0,11.0,-0.019526311326436868,4737.925126568518
0.47699999809265137,0.47699999809265137,0.0,4.0,6.0,-0.018525319833663147,2583.934526659199
0.4869999885559082,0.4869999885559082,0.0,2.0,8.0,-0.019026366740377932,4523.237894270862
0.5379998683929443,0.5379998683929443,0.0,1.0,7.0,-0.018645149979576153,1886.058656153237
0.5369999408721924,0.5369999408721924,0.0,6.0,4.0,-0.016933135414584875,2825.2441146860674
0.5369999408721924,0.5369999408721924,0.0,1.0,2.0,-0.011527080248362251,641.783848274364
0.624000072479248,0.624000072479248,0.0,2.0,1.0,-0.006167940661455815,963.5299656435016
0.5390000343322754,0.5390000343322754,0.0,4.0,20.0,-0.019861609224867557,13346.769249272797
0.5610001087188721,0.5610001087188721,0.0,4.0,15.0,-0.019756825725517884,8541.93231953458
0.5750000476837158,0.5750000476837158,0.0,4.0,13.0,-0.01967311895809209,6918.965178823022
0.7779998779296875,0.7779998779296875,0.0,2.0,1.0,-0.006167940661455815,963.5299656435016
0.47299981117248535,0.47299981117248535,0.0,5.0,7.0,-0.018877879684576222,7175.2231484090535
0.4440000057220459,0.4440000057220459,0.0,1.0,7.0,-0.018645149979576153,1886.058656153237
0.43399977684020996,0.43399977684020996,0.0,1.0,0.0,0.09369746170103427,327.4407389154922
0.41100001335144043,0.41100001335144043,0.0,3.0,10.0,-0.019426261234578957,4164.192005773157
0.4419999122619629,0.4419999122619629,0.0,3.0,1.0,-0.0072747407298381864,666.2707209236978
0.3809998035430908,0.3809998035430908,0.0,4.0,5.0,-0.017976604212022237,2135.483079883645
0.5460000038146973,0.5460000038146973,0.0,2.0,14.0,-0.019681927080810895,9662.064377702847
0.5659999847412109,0.5659999847412109,0.0,2.0,14.0,-0.019681927080810895,9662.064377702847
0.4500000476837158,0.4500000476837158,0.0,4.0,1.0,-0.007612393587736802,768.773908758113
0.4719998836517334,0.4719998836517334,0.0,2.0,6.0,-0.018341467523853138,3238.5312734128624
