Total Time(s),Time_o1(s),Time_o2(s),var1,var2,o1,o2
8.243000030517578,8.111999988555908,0.00800013542175293,2.0,7.0,-0.01874721357135787,3854.119862574006
0.4049999713897705,0.4049999713897705,0.0,6.0,8.0,-0.019083111798404283,5894.645128172135
0.4780001640319824,0.4780001640319824,0.0,3.0,15.0,-0.01974926796433815,7403.008010263303
0.5019998550415039,0.5019998550415039,0.0,6.0,14.0,-0.019701309078820187,12591.52006668722
0.44899988174438477,0.44899988174438477,0.0,4.0,20.0,-0.019861609224867557,13346.769249272797
0.4179999828338623,0.4179999828338623,0.0,2.0,4.0,-0.016752238346872516,2167.9424226978804
0.41900014877319336,0.41900014877319336,0.0,3.0,3.0,-0.015510069870605001,1184.4812816421295
0.4830000400543213,0.4830000400543213,0.0,2.0,19.0,-0.019825500935464653,15416.479450296025
0.5339999198913574,0.5339999198913574,0.0,4.0,1.0,-0.007612393587736802,768.773908758113
0.4089999198913574,0.4089999198913574,0.0,2.0,9.0,-0.019225061574400647,5245.885368503497
0.3839998245239258,0.3839998245239258,0.0,5.0,11.0,-0.019536128760590864,12755.952263838317
0.3840000629425049,0.3840000629425049,0.0,6.0,2.0,-0.01255268015237121,1709.0982916002085
0.38899993896484375,0.38899993896484375,0.0,1.0,13.0,-0.01959778078131903,4243.631976344787
0.379000186920166,0.379000186920166,0.0,5.0,6.0,-0.018512651006796815,6029.180562204798
0.43000006675720215,0.43000006675720215,0.0,5.0,1.0,-0.00751217919038258,1793.8057871022634
0.440000057220459,0.440000057220459,0.0,2.0,12.0,-0.019563977271165676,7735.0044464158245
0.565000057220459,0.565000057220459,0.0,3.0,15.0,-0.01974926796433815,7403.008010263303
0.44099998474121094,0.44099998474121094,0.0,3.0,6.0,-0.0184825834169445,2239.409923104639
0.4809999465942383,0.4809999465942383,0.0,1.0,17.0,-0.019763889158384486,6339.252705403902
0.4909999370574951,0.4909999370574951,0.0,4.0,16.0,-0.019786393881479958,9417.48038228686
0.4399998188018799,0.4399998188018799,0.0,4.0,18.0,-0.019829979056543975,11296.705492584466
