Total Time(s),Time_o1(s),Time_o2(s),var1,var2,o1,o2
0.4030001163482666,0.4030001163482666,0.0,2.0,18.0,-0.019806169422004957,14158.537550705863
0.4270000457763672,0.4270000457763672,0.0,4.0,8.0,-0.01913647597515741,3608.9664050033475
0.6130001544952393,0.6130001544952393,0.0,4.0,5.0,-0.017976604212022237,2135.483079883645
0.5730001926422119,0.5730001926422119,0.0,2.0,19.0,-0.019825500935464653,15416.479450296025
0.4440000057220459,0.4440000057220459,0.0,2.0,15.0,-0.019724120370816542,10705.888507150006
0.4049999713897705,0.4049999713897705,0.0,3.0,7.0,-0.018854950319184997,2665.0828836947912
0.372999906539917,0.372999906539917,0.0,6.0,3.0,-0.015377572085226283,2232.2916461717055
0.4930000305175781,0.4930000305175781,0.0,6.0,5.0,-0.017855636494877054,3487.9556971432867
0.3810000419616699,0.3810000419616699,0.0,3.0,17.0,-0.01980391016807992,8957.639692418557
0.3619999885559082,0.3619999885559082,0.0,6.0,11.0,-0.01951110431296968,8929.166584686822
0.4330000877380371,0.4330000877380371,0.0,3.0,12.0,-0.019603062470316547,5348.673287415198
0.6119999885559082,0.6119999885559082,0.0,5.0,12.0,-0.01961134514919434,14400.274235348608
0.4759998321533203,0.4759998321533203,0.0,5.0,8.0,-0.01912890521761261,8420.921611674477
0.4249999523162842,0.4249999523162842,0.0,6.0,12.0,-0.019590228770987973,10080.191964744026
0.3939998149871826,0.3939998149871826,0.0,4.0,10.0,-0.019443031758286954,4804.836929738258
0.38899993896484375,0.38899993896484375,0.0,6.0,15.0,-0.019741018317976214,13951.822788573147
0.43599987030029297,0.43599987030029297,0.0,3.0,2.0,-0.012763452180569386,906.8684812572535
0.38899993896484375,0.38899993896484375,0.0,5.0,9.0,-0.01930740288909767,9766.275952001191
0.3840000629425049,0.3840000629425049,0.0,4.0,10.0,-0.019443031758286954,4804.836929738258
0.39100003242492676,0.39100003242492676,0.0,1.0,10.0,-0.019317727145368953,2946.966650239465
0.4459998607635498,0.4459998607635498,0.0,4.0,7.0,-0.01888753805153067,3075.095635032452
0.5749998092651367,0.5749998092651367,0.0,3.0,18.0,-0.0198244934838077,9790.478093573203
0.5309998989105225,0.5309998989105225,0.0,2.0,2.0,-0.01212535660414987,1311.4713421258743
0.4049999713897705,0.4049999713897705,0.0,4.0,0.0,0.04528225020559193,533.8707699709113
0.44300007820129395,0.44300007820129395,0.0,5.0,1.0,-0.00751217919038258,1793.8057871022634
0.41700005531311035,0.41700005531311035,0.0,4.0,6.0,-0.018525319833663147,2583.934526659199
0.4179999828338623,0.4179999828338623,0.0,4.0,4.0,-0.017104121168788466,1729.7412947057555
0.4309999942779541,0.4309999942779541,0.0,3.0,15.0,-0.01974926796433815,7403.008010263303
0.4089999198913574,0.4089999198913574,0.0,6.0,6.0,-0.018436108888154955,4220.426393543358
0.5400002002716064,0.5400002002716064,0.0,2.0,16.0,-0.019756688269031278,11803.242079132866
0.4680001735687256,0.4680001735687256,0.0,5.0,10.0,-0.019438063793713142,11211.286169389268
0.3969998359680176,0.3969998359680176,0.0,2.0,17.0,-0.019783503443918913,12954.125093651452
0.4049999713897705,0.4049999713897705,0.0,3.0,13.0,-0.019663069136617327,5996.436488313286
0.375,0.375,0.0,6.0,0.0,0.059043145973056876,871.9889242858217
0.3540000915527344,0.3540000915527344,0.0,5.0,16.0,-0.01978436772739016,21974.120892002677
0.40400004386901855,0.40400004386901855,0.0,5.0,3.0,-0.015595943865636286,3188.988065959579
0.40199995040893555,0.40199995040893555,0.0,5.0,1.0,-0.00751217919038258,1793.8057871022634
